"""text""","""label"""
"Name of the issuer: Address: Business identity code: Legal entity identifier (LEI): ISIN of the Bonds: Stockmann Oyj Abp Aleksanterinkatu 52 B, FI-00100 Helsinki, Finland 0114162-2 743 700 IFQI6W 89M 1IY95 FI4000507330 ",DefineIssuerName
 The Bonds are issued in denominations of EUR 1,DefineDenomination
 The maturity of the Bonds is on the date falling five (5) years after the First Issue Date (as defined in the Terms and Conditions of the Bonds) unless the Issuer prepays the Bonds before their maturity,DefineInstrumentMaturityDate
STOCKMANN PLC ,DefineIssuerName
"This prospectus (the “Prospectus”) has been prepared in connection with the senior secured bonds offering of Stockmann plc (the “Issuer” or “Stockmann”), a public limited company incorporated in Finland",DefineIssuerIncorperationPlace
The Bonds are issued in denominations of EUR 1 ,DefineDenomination
Final Bond Terms dated 15 October 2014 ,DefineInstrumentMaturityDate
"The Bonds have been issued pursuant to Nykredit Realkredit A/S's base prospectus dated 17 June 2014 and prospectus supplement no 1 dated 26 August (the ""Base Prospectus""). ",DefineIssuerName
Final Bond Terms dated 15 October 2014 ,DefineInstrumentMaturityDate
"B.l Legal name and secondary names of the Issuer Nykredit Realkredit A/S. The issuer carries on business under the following secondary names: Industrikredit A/S, IRF Erhvervsfinansiering A/S, IRF Industrifinansiering A/S, IRF Industrikredit A/S, Nykredit A/S, Nykredit Industri A/S and Realkreditaktieselskabet Nykredit. ",DefineIssuerName
"B.2 The Issuer's registered office and legal form, legislation applying to the Issuer and country of incorporation Nykredit Realkredit A/S is a Danish public limited company. The Issuer carries on mortgage banking activities in accordance with the Danish Financial Business Act. Nykredit's registered address is Kalvebod Brygge 1-3, DK-1780 Copenhagen V, Denmark. ",DefineIssuerIncorperationPlace
Issuer: Entra ASA ,DefineIssuerName
"Borrowing Limit: NOK 1,500,000,000 ",DefineInstrumentMaxAmount
Maturity Date: 20 March 2024 ,DefineInstrumentMaturityDate
FRN Entra ASA Unsecured Green Bond Issue 2017/2024 (the “Bonds” or the “Bond Issue”) ,DefineIssuerName
"First Tranche: NOK 750,000,000 ",DefineInstrumentFirstAmount
"Nominal Value: The Bonds will have a nominal value of NOK 1,000,000 each ",DefineDenomination
"Trustee: Norsk Tillitsmann ASA, Postboks 1470 Vika, NO-0116 Oslo, Norway ",DefineAgent
"This prospectus (the “Prospectus”) has been prepared by Bayport Management Ltd (the “Company” or the “Issuer”), registration number 54787/C1 GBL, LEI 549300MHJ6KEDPWPMN38, in relation to the application for admission to trading of the Company’s USD 80,000,000 subordinated fixed rate social bonds 2019/2022 with ISIN NO0010871601 (the “Bonds”) issued on 19 December 2019 (the “Issue Date”) (the “Bond Issue”) in accordance with the terms and conditions for the Bonds (the “Terms and Conditions”) on Nasdaq Stockholm Sustainable Bond List (“Nasdaq Stockholm”). The Issuer may at one or more occasions after the Issue Date issue Subsequent Bonds under the Terms and Conditions, until the total amount under such Subsequent Bond Issue(s) and the Bond Issue equals USD 100,000,000",DefineIssuerName
"PROSPECTUS REGARDING THE LISTING OF USD 80,000,000 SUBORDINATED FIXED RATE SOCIAL BONDS 2019/2022 ISIN: NO0010871601 ",DefineInstrumentFirstAmount
"This prospectus (the “Prospectus”) has been prepared by Bayport Management Ltd (the “Company” or the “Issuer” and together with its subsidiaries from time to time, the “Group”), registration number 54787/C1 GBL, LEI 549300MHJ6KEDPWPMN38, in relation to the application for admission to trading of the Company’s USD 80,000,000 subordinated fixed rate social bonds 2019/2022 with ISIN NO0010871601 (the “Bonds”) issued on 19 December 2019 (the “Issue Date”) (the “Bond Issue”) in accordance with the terms and conditions for the Bonds (the “Terms and Conditions”) on Nasdaq Stockholm Sustainable Bond List (“Nasdaq Stockholm”). ",DefineInstrumentFirstAmount
"Securities Eight hundred (800) Bonds were issued in the Bond Issue, each Bond with a nominal amount of USD 100,000",DefineDenomination
" The Issuer may at one or more occasions after the Issue Date issue Subsequent Bonds under the Terms and Conditions, until the total amount under such Subsequent Bond Issue(s) and the Bond Issue equals USD 100,000,000. References to “Bayport” or the “Group” refer in this Prospectus to the Company and its subsidiaries from time to time, unless otherwise indicated by the context",DefineInstrumentMaxAmount
"ISSUER: Lithium SPV Limited, a private limited company incorporated in Jersey with registration number 136875 and LEI-code 213800F1DJSIYITA1H16. ",DefineIssuerName
"#9861143/6 BOND TERMS  for Lithium SPV Limited 5.00% EUR 69,102,970 Limited Recourse PIK Notes 2021/2028 ",DefineIssuerName
“Original Maturity Date” means the 7th anniversary of the Effective Date. ,DefineInstrumentMaturityDate
"BOND TRUSTEE: Nordic Trustee AS, a company existing under the laws of Norway with registration number 963 342 624 and LEI- code 549300XAKTM2BMKIPT85. ",DefineAgent
Storebrand Boligkreditt AS ,DefineIssuerName
 Whether TEFRA D or TEFRA C rules applicable or TEFRA rules not applicable or TEFRA D (Swiss practice): TEFRA not applicable 5 Signed on behalf of Storebrand Boligkreditt AS: ,DefineIssuerName
 Maturity Date: Interest Payment Date falling in or nearest to June 2026 ,DefineInstrumentMaturityDate
" Final Redemption Amount: NOK 2,000,000 per Calculation Amount ",DefineDenomination
"Issue of NOK 5,500,000,000 Floating Rate Covered Notes due June 2026 (extendable to June 2027) ",DefineInstrumentFirstAmount
"(a) Series: NOK 5,500,000,000 ",DefineInstrumentMaxAmount
"(b) Tranche: NOK 5,500,000,000 ",DefineInstrumentFirstAmount
" (a) Specified Denominations: NOK 2,000,000 ",DefineDenomination
"(b) Calculation Amount (in relation to calculation of interest for Notes in global form see Conditions): NOK 2,000,000 ",DefineDenomination
Landshypotek Bank AB (publ) ,DefineIssuerName
"Issue of SEK 600,000,000 Floating Rate S.0, Bonds due 30 September 2026 under the €10,000,000,000 Euro Medium Term Note and S.O. Bond Programme ",DefineInstrumentFirstAmount
Maturity Date: 30 September 2026 ,DefineInstrumentMaturityDate
"- Tranche: SEK 600,000,000 ",DefineInstrumentFirstAmount
"- Series: SEK 600,000,000 ",DefineInstrumentMaxAmount
"(a) (b) Specified Denominations: Calculation Amount: SEK 2,000,000 SEK 2,000,000 ",DefineDenomination
"- Tranche: SEK 1,000,000,000 ",DefineInstrumentMaxAmount
"- Series: SEK 1,000,000,000 ",DefineInstrumentFirstAmount
"(a) Specified Denominations: SEK 2,000,000 ",DefineDenomination
"(b) Calculation Amount: SEK 2,000,000 ",DefineDenomination
Maturity Date: 1 February 2027 ,DefineInstrumentMaturityDate
"24, Final Redemption Amount: SEK 2,000,000 per Calculation Amount ",DefineDenomination
Landshypotek Bank AB (publ) ,DefineIssuerName
"""Final Maturity Date"" means 1 July 2024. ",DefineInstrumentMaturityDate
"""Issuer"" means CA Fastigheter Aktiebolag (publ), a limited liability company incorporated in Sweden with reg. no. 556227-5700. ",DefineIssuerName
"(c) The nominal amount of each Bond is SEK 1,250,000 (the ""Nominal Amount""). The maximum total nominal amount of the Initial Bonds is SEK 500,000,000",DefineDenomination
" The maximum total nominal amount of the Initial Bonds is SEK 500,000,000",DefineDenomination
" The maximum total nominal amount of the Bonds (the Initial Bonds and all Subsequent Bonds) may not exceed SEK 1,000,000,000 unless a consent from the Bondholders is obtained in accordance with Clause 15(e)(i). Each Subsequent Bond shall entitle its holder to Interest in accordance with Clause 8(a), and otherwise have the same rights as the Initial Bonds",DefineInstrumentMaxAmount
"Up to SEK 1,000,000,000  Senior Unsecured Floating Rate Green Bonds ",DefineInstrumentMaxAmount
CA Fastigheter Aktiebolag (publ) ,DefineIssuerName
"""Agent"" means Nordic Trustee & Agency AB (publ), reg. no. 556882-1879, P.O. Box 7329, SE-103 90 Stockholm, Sweden or another party replacing it, as Agent, in accordance with these Terms and Conditions. ",DefineAgent
"MAXIMUM SEK 750,000,000 ",DefineInstrumentMaxAmount
“Final Redemption Date” means 24 June 2024,DefineInstrumentMaturityDate
" 35 DocuSign Envelope ID: 3E63C2A5-355F-4747-8E34-92B7BE6BE6E8 1 TERMS AND CONDITIONS FOR VNV GLOBAL AB (PUBL) MAXIMUM SEK 750,000,000 SENIOR SECURED CALLABLE FIXED RATE BONDS 2021/2024 ISIN: SE0016275077 ",DefineInstrumentMaxAmount
"1 The aggregate amount of the bond loan will be an amount of up to SEK 750,000,000 which will be represented by Bonds, each of a nominal amount of SEK 1,250,000 or full multiples thereof (the “Nominal Amount”)",DefineInstrumentMaxAmount
"1 The aggregate amount of the bond loan will be an amount of up to SEK 750,000,000 which will be represented by Bonds, each of a nominal amount of SEK 1,250,000 or full multiples thereof (the “Nominal Amount”)",DefineDenomination
" The total nominal amount of the Initial Bonds is SEK 500,000,000 (the “Initial Bond Issue”)",DefineInstrumentFirstAmount
"4 The Issuer may at one or more occasions after the First Issue Date issue Subsequent Bonds under these Terms and Conditions (each such issue, a “Subsequent Bond Issue”), until the total amount under such Subsequent Bond Issue(s) and the Initial Bond Issue equals SEK 750,000,000 always provided that the Incurrence Test (calculated pro forma including such issue) is met. ",DefineInstrumentMaxAmount
"“Trustee” means the Holders’ agent under these Terms and Conditions and, if relevant, the other Finance Documents, from time to time; initially Nordic Trustee & Agency AB (publ) (reg.no. 556882-1879, P.O. Box 7329 SE-103 90 Stockholm, Sweden). ",DefineAgent
"“Issuer” means VNV Global AB (publ) (reg. no. 556677-7917, Mäster Samuelsgatan 1, 1st floor, 111 44 Stockholm, Sweden)",DefineIssuerName
"Terms and Conditions  Oscar Properties Holding AB (publ)  Up to SEK 1,000,000,000  Senior Unsecured Floating Rate Bonds ",DefineIssuerName
"""Issuer"" means Oscar Properties Holding AB (publ), limited liability company incorporated in Sweden with reg. no. 556870-4521. ",DefineIssuerName
"""Agent"" means Intertrust (Sweden) AB, reg. no. 556625-5476, P.O. Box 16285, SE-103 25 Stockholm, Sweden or another party replacing it, as Agent, in accordance with these Terms and Conditions. ",DefineAgent
"(c) The nominal amount of each Bond is SEK 1,250,000 (the ""Nominal Amount""). The total nominal amount of the Initial Bonds is SEK 550,000,000",DefineDenomination
" The total nominal amount of the Initial Bonds is SEK 550,000,000. All Initial Bonds are issued on a fully paid basis at an issue price of one hundred (100) per cent",DefineInstrumentFirstAmount
"(d) The minimum permissible investment in the Initial Bond Issue is SEK 1,250,000",DefineDenomination
"Series: U.S.$1,250,000,000 ",DefineInstrumentMaxAmount
Kommuninvest i Sverige Aktiebolag (publ) ,DefineIssuerName
These Final Terms comprise the final terms required for admission to the Official List of the Luxembourg Stock Exchange and admission to trading on the regulated market of the Luxembourg Stock Exchange of the issue of Notes described herein pursuant to the Euro Note Programme of Kommuninvest i Sverige Aktiebolag (publ). ,DefineIssuerName
 6 Signed on behalf of Kommuninvest i Sverige Aktiebolag (publ): ,DefineIssuerName
 Maturity Date: 9 August 2023 ,DefineInstrumentMaturityDate
"Issue of U.S.$1,250,000,000 0.250% Fixed Rate Notes due 9 August 2023 Guaranteed by certain regions of Sweden and certain municipalities of Sweden under the Euro Note Programme ",DefineInstrumentMaturityDate
"(h) Agent: Citibank, N.A. for the Notes to be represented by the Regulation S Global Note  Citibank, N.A. for the Notes to be represented by the Rule 144A Global Note ",DefineAgent
" (a) Specified Denomination(s): U.S.$200,000 and integral multiples of U.S.$1,000 in excess thereof ",DefineDenomination
"(b) Calculation Amount: U.S.$1,000 ",DefineDenomination
" Final Redemption Amount: U.S.$1,000 per Calculation Amount ",DefineDenomination
"Tranche: U.S.$1,250,000,000 ",DefineInstrumentFirstAmount
Nordic Investment Bank ,DefineIssuerName
Issuer: Nordic Investment Bank,DefineIssuerName
"The Notes will mature at 100% of their principal amount on July 15, 2020",DefineInstrumentMaturityDate
"Maturity Date: July 15, 2020 ",DefineInstrumentMaturityDate
"Authorized Denominations: NOK 10,000 and integral multiples thereof ",DefineDenomination
"Aggregate Principal Amount: NOK 300,000,000 ",DefineInstrumentFirstAmount
15 November 2012 SpareBank 1 Boligkreditt AS ,DefineIssuerName
1. Issuer: SpareBank 1 Boligkreditt AS ,DefineIssuerName
"(ii) Tranche: USD 1,000,000,000 ",DefineInstrumentFirstAmount
"(i) Series: USD 1,000,000,000 ",DefineInstrumentMaxAmount
 Maturity Date: 15 November 2019 ,DefineInstrumentMaturityDate
"These Final Terms comprise the details required to list and have admitted to trading the issue of Covered Bonds described herein pursuant to the EUR 25,000,000,000 Global Medium Term Covered Note Programme of SpareBank 1 Boligkreditt AS",DefineIssuerName
" (a) Specified Denominations: USD 200,000 and integral multiples of USD 1,000  in excess thereof ",DefineDenomination
"(b) Calculation Amount: USD 1,000 ",DefineDenomination
Issuer: Statoil ASA (“Statoil”),DefineIssuerName
Issuer: Statoil ASA (“Statoil”),DefineIssuerName
Issuer: Statoil ASA (“Statoil”). ,DefineIssuerName
Issuer: Statoil ASA (“Statoil”),DefineIssuerName
"Maturity Date: May 15, 2018 ",DefineInstrumentMaturityDate
"Maturity Date: May 15, 2018 ",DefineInstrumentMaturityDate
"Maturity Date: January 15, 2024 ",DefineInstrumentMaturityDate
"Maturity Date: May 15, 2043 ",DefineInstrumentMaturityDate
"Denominations: $1,000 and integral multiples of $1,000 ",DefineDenomination
"Total initial principal amount: $750,000,000 ",DefineInstrumentFirstAmount
"Denominations: $1,000 and integral multiples of $1,000 ",DefineDenomination
"Total initial principal amount: $900,000,000 ",DefineInstrumentFirstAmount
"Petroleum Geo-Services ASA $150,000,000 7.375% Senior Notes due 2018 ",DefineIssuerName
"Petroleum Geo-Services ASA, a company incorporated under the laws of the Kingdom of Norway (the “Compa- ny”), is offering $150",DefineIssuerIncorperationPlace
"“Trustee” refers to Citibank, N.A., London Branch, as trustee on behalf of the holders of Notes",DefineAgent
“Company” or “PGS” refers to Petroleum Geo-Services ASA,DefineIssuerName
" The Notes will mature on De- cember 15, 2018",DefineInstrumentMaturityDate
15 November 2012 SpareBank 1 Boligkreditt AS ,DefineIssuerName
 Issuer: SpareBank 1 Boligkreditt AS ,DefineIssuerName
"These Final Terms comprise the details required to list and have admitted to trading the issue of Covered Bonds described herein pursuant to the EUR 25,000,000,000 Global Medium Term Covered Note Programme of SpareBank 1 Boligkreditt AS. ",DefineIssuerName
 Maturity Date: 15 November 2019 ,DefineInstrumentMaturityDate
"Issue of USD 1,000,000,000 Series 2012-7 1.75 per cent. Covered Bonds due November 2019 (the Covered Bonds) under the EUR 25,000,000,000 Global Medium Term Covered Note Programme ",DefineInstrumentMaturityDate
"(i) Series: USD 1,000,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: USD 1,000,000,000 ",DefineInstrumentFirstAmount
" (a) Specified Denominations: USD 200,000 and integral multiples of USD 1,000 2 in excess thereof ",DefineDenomination
"(b) Calculation Amount: USD 1,000 ",DefineDenomination
"SPI Electricity & Gas Australia Holdings Pty Ltd  only Issue of NOK900,000,000 3.97 per cent. Notes due 2029 (the “Notes”) ",DefineIssuerName
1 (i) Issuer: SPI Electricity & Gas Australia Holdings Pty  Ltd (ABN 97 086 006 859) ,DefineIssuerName
8 Maturity Date: 25 June 2029 ,DefineInstrumentMaturityDate
"For 6 (i) Specified Denominations: NOK1,000,000 ",DefineDenomination
"(i) Series: NOK900,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: NOK900,000,000 ",DefineInstrumentFirstAmount
"(ii) Calculation Amount NOK1,000,000 ",DefineDenomination
Volkswagen Financial Services N.V. ,DefineIssuerName
"000 1,125 % Festverzinsliche Schuldverschreibungen fällig 22. Januar 2018 ",DefineInstrumentMaturityDate
"NOK 500,000,000 1.125 per cent. Fixed Rate Notes due 22 January 2018 NOK 500.000.000 1,125 % Festverzinsliche Schuldverschreibungen fällig 22",DefineInstrumentMaturityDate
" Diese Serie der Schuldverschreibungen (die ""Schuldverschreibungen"") der Volkswagen Financial Services N.V. (die ""Emittentin"") wird in Norwegischen Kronen (""NOK"") (die ""Festgelegte Währung"") im Gesamtnennbetrag von NOK 500.000.000 (in Worten: fünfhundert Millionen) begeben und ist eingeteilt in 50.000 Schuldverschreibungen im Nennbetrag von NOK 10.000 (die ""Festgelegte Stückelung"")",DefineDenomination
"Issue of EUR 75,000,000 1.645 per cent. Fixed Rate Notes due 25 June 2040 ",DefineInstrumentMaturityDate
"Aggregate Nominal Amount: (1) Series: EUR 75,000,000 ",DefineInstrumentFirstAmount
Maturity Date: Interest Basis: 25 June 2040 1.645 per cent. Fixed Rate (further particulars specified below) ,DefineInstrumentMaturityDate
Kommunekredit ,DefineIssuerName
"(ii) Tranche: EUR 75,000,000 ",DefineInstrumentFirstAmount
"(i) Specified Denomina- tions: (il) Calculation Amount: EUR 100,000 EUR 100,000 ",DefineDenomination
Issuer: Kommunekredit  (1) Series Number: 1201504713 ,DefineIssuerName
Final Terms dated 23 June 2015 Kommunekredit ,DefineIssuerName
Maturity Date: 26 June 2045 ,DefineInstrumentMaturityDate
"0) —Senes: (1) —Tranche: EUR 25,000,000 EUR 25,000,000 ",DefineInstrumentFirstAmount
"(1) Specified Denomina- tions: (i) Calculation Amount: EUR 100,000 EUR 100,000 ",DefineDenomination
"Single Platform Investment Repackaging Entity SA  (a public limited liability company (société anonyme) incorporated under the laws of Luxembourg with registered office at 51, avenue John F. Kennedy, L-1855 Luxembourg, having a share capital of EUR 31,000, and duly registered with the Registre de Commerce et des  Sociétés, Luxembourg with number B206430) (“SPIRE”)  acting in respect of its Compartment 2020-170 ",DefineIssuerName
"This document is a series memorandum (the “Series Memorandum”), which contains information relating to  the above notes (the “Notes”) issued by SPIRE acting in respect of its Compartment 2020-170 (the “Issuer”)",DefineIssuerName
"(i) Series: NOK 250,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: NOK 250,000,000 ",DefineInstrumentFirstAmount
"6 (i) Specified Denominations: NOK 2,000,000 ",DefineDenomination
"(ii) Calculation Amount: NOK 2,000,000 ",DefineDenomination
8 Maturity Date: 11 January 2027 ,DefineInstrumentMaturityDate
"Pricing Supplement dated 20 November 2018  JPMorgan Chase & Co.  Structured Products Programme for the issuance of Notes, Warrants and Certificates  (the ""Programme"") ",DefineIssuerName
" Maturity Date: 20 November 2028 (such date prior to any adjustment, the ""Scheduled Maturity Date""), subject to - 5 - adjustment in accordance with the Following Business Day Convention ",DefineInstrumentMaturityDate
"(i) Specified Denomination: SEK 10,000,000 ",DefineDenomination
" Final Redemption Amount: In respect of each Note (being of the Specified Denomination), SEK 10,000,000 ",DefineDenomination
 (i) Issuer: JPMorgan Chase & Co. ,DefineIssuerName
" Aggregate Nominal Amount: - 4 - (i) Series: SEK 120,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: SEK 120,000,000 ",DefineInstrumentFirstAmount
"(iii) Minimum trading size: One (1) Security (corresponding to a nominal amount of SEK 10,000,000) ",DefineDenomination
SR-Boligkreditt AS ,DefineIssuerName
 Maturity Date: 12 April 2022 ,DefineInstrumentMaturityDate
"(i) Series: $600,000,000 ",DefineInstrumentMaxAmount
" (a) Specified Denominations: $200,000 and integral multiples of $1,000 in excess thereof up to and including $299,000 (or equivalent in another currency). ",DefineDenomination
"(b) Calculation Amount: $1,000 ",DefineDenomination
"(ii) Tranche: $600,000,000 ",DefineInstrumentFirstAmount
1 Issuer: Coöperatieve Rabobank U.A. ,DefineIssuerName
"(i) Series: NOK 300,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: NOK 300,000,000 ",DefineInstrumentFirstAmount
"6 (i) Specified Denominations: NOK 1,000,000 ",DefineDenomination
"(ii) Calculation Amount: NOK 1,000,000 ",DefineDenomination
8 Maturity Date: 24 August 2027 ,DefineInstrumentMaturityDate
COÖPERATIEVE RABOBANK U.A. ,DefineIssuerName
(a cooperative (coöperatie) formed under the laws of the Netherlands with its statutory seat in  Amsterdam) ,DefineIssuerIncorperationPlace
"Specified Denomination(s) NOK 2,000,000 and integral multiples of NOK 1,000,000 in excess thereof ",DefineDenomination
"Aggregate Principal Amount: NOK 500,000,000 ",DefineInstrumentFirstAmount
"Aggregate Principal Amount of Series: NOK 500,000,000 § 1 (2) Form ",DefineInstrumentFirstAmount
BMW Finance N.V. ,DefineIssuerName
"NOK 500,000,000 Floating Rate Notes issued pursuant to the  Euro 50,000,000,000 Euro Medium Term Note Programme of  Bayerische Motoren Werke Aktiengesellschaft (“BMW AG”) BMW Finance N.V. (“BMW Finance”) BMW US Capital, LLC (“BMW US Capital”) BMW International Investment B.V. (“BMW Investment”) BMW Japan Finance Corp. (“BMW Japan”) ",DefineIssuerName
Maturity Date 22 August 2022 ,DefineInstrumentMaturityDate
Redemption Month and Year August 2022 ,DefineInstrumentMaturityDate
"(i) Series: USD 600,000,000 ",DefineInstrumentMaxAmount
" (i) Specified Denominations: USD 200,000 and integral multiples of USD 1,000 in excess thereof up to and including USD 399,000. No Instruments in definitive form will be issued with a Specified Denomination above USD 399,000 ",DefineDenomination
"(ii) Calculation Amount: USD 1,000 ",DefineDenomination
 Maturity Date: 14 January 2022 ,DefineInstrumentMaturityDate
"Aktiebolaget Svensk Exportkredit (publ) (Swedish Export Credit Corporation) (Incorporated in the Kingdom of Sweden with limited liability) (""SEK"" or the ""Issuer"") Unlimited Programme for the Continuous Issuance of Debt Instruments Issue of a Series of USD 600,000,000 1.625 per cent. Instruments due 14 January 2022 (the ""Instruments"") ",DefineIssuerName
" Fälligkeitstag Maturity Date 16. April 2024 April 16, 2024 ",DefineInstrumentMaturityDate
"NOK 1.000.000.000 3,25 % Schuldverschreibungen fällig am 16. April 2024 (die ""Schuldverschreibungen"") NOK 1,000,000,000 3.25 per cent. Notes due April 16, 2024 (the ""Notes"") ",DefineInstrumentMaturityDate
"Letzter Zinszahlungstag 16. April 2024 Last Interest Payment Date April 16, 2024 ",DefineInstrumentMaturityDate
begeben von issued by  Daimler Canada Finance Inc. ,DefineIssuerName
 S-1 Im Namen der Emittentin unterzeichnet Signed on behalf of the Issuer  Daimler Canada Finance Inc.,DefineIssuerName
"Gesamtnennbetrag NOK 1.000.000.000 Aggregate Principal Amount NOK 1,000,000,000 ",DefineInstrumentFirstAmount
Gesamtnennbetrag (in Worten) NOK eine Milliarde Aggregate Principal Amount (in words) NOK one billion ,DefineInstrumentFirstAmount
